satis_id,satis_tarihi,urun_id,adet,toplam_tutar,satis_durumu
1000,2025-05-12,URN-103,1,180,Tamamlandı
1001,2025-05-12,URN-122,3,1200,Tamamlandı
1002,2025-05-12,URN-112,1,280,Tamamlandı
1003,2025-05-12,URN-118,3,570,Tamamlandı
1004,2025-05-12,URN-106,1,450,Tamamlandı
1005,2025-05-12,URN-110,2,2400,Tamamlandı
1006,2025-05-12,URN-111,2,700,Tamamlandı
1007,2025-05-12,URN-124,3,2550,Tamamlandı
1008,2025-05-12,URN-102,3,960,Tamamlandı
1009,2025-05-12,URN-117,1,410,Tamamlandı
1010,2025-05-12,URN-129,1,270,Tamamlandı
1011,2025-05-12,URN-113,1,90,Tamamlandı
1012,2025-05-12,URN-106,3,1350,Tamamlandı
1013,2025-05-12,URN-119,1,160,Tamamlandı
1014,2025-05-12,URN-111,3,1050,İade Edildi
1015,2025-05-13,URN-109,1,600,Tamamlandı
1016,2025-05-13,URN-124,1,850,Tamamlandı
1017,2025-05-13,URN-126,3,2850,Tamamlandı
1018,2025-05-13,URN-126,1,950,Tamamlandı
1019,2025-05-13,URN-107,2,400,Tamamlandı
1020,2025-05-13,URN-126,1,950,Tamamlandı
1021,2025-05-13,URN-114,1,50,Tamamlandı
1022,2025-05-13,URN-123,1,220,Tamamlandı
1023,2025-05-13,URN-117,2,820,Tamamlandı
1024,2025-05-13,URN-120,3,1950,Tamamlandı
1025,2025-05-13,URN-103,2,360,Tamamlandı
1026,2025-05-13,URN-129,3,810,Tamamlandı
1027,2025-05-13,URN-125,1,340,Tamamlandı
1028,2025-05-13,URN-122,3,1200,Tamamlandı
1029,2025-05-13,URN-109,2,1200,Tamamlandı
1030,2025-05-14,URN-107,1,200,Tamamlandı
1031,2025-05-14,URN-124,3,2550,İade Edildi
1032,2025-05-14,URN-119,1,160,İptal Edildi
1033,2025-05-14,URN-107,2,400,Tamamlandı
1034,2025-05-14,URN-122,3,1200,Tamamlandı
1035,2025-05-15,URN-119,3,480,Tamamlandı
1036,2025-05-15,URN-107,1,200,Tamamlandı
1037,2025-05-15,URN-106,1,450,Tamamlandı
1038,2025-05-15,URN-102,2,640,Tamamlandı
1039,2025-05-15,URN-107,1,200,Tamamlandı
1040,2025-05-15,URN-121,3,960,Tamamlandı
1041,2025-05-15,URN-123,1,220,Tamamlandı
1042,2025-05-15,URN-119,2,320,Tamamlandı
1043,2025-05-15,URN-120,1,650,İade Edildi
1044,2025-05-15,URN-121,1,320,Tamamlandı
1045,2025-05-15,URN-105,2,760,Tamamlandı
1046,2025-05-15,URN-113,1,90,Tamamlandı
1047,2025-05-15,URN-102,3,960,Tamamlandı
1048,2025-05-15,URN-127,1,580,Tamamlandı
1049,2025-05-15,URN-114,1,50,Tamamlandı
1050,2025-05-16,URN-129,2,540,Tamamlandı
1051,2025-05-16,URN-120,3,1950,Tamamlandı
1052,2025-05-16,URN-105,1,380,Tamamlandı
1053,2025-05-16,URN-101,1,750,Tamamlandı
1054,2025-05-16,URN-115,1,550,Tamamlandı
1055,2025-05-17,URN-125,1,340,Tamamlandı
1056,2025-05-17,URN-103,1,180,Tamamlandı
1057,2025-05-17,URN-101,3,2250,Tamamlandı
1058,2025-05-17,URN-115,1,550,İptal Edildi
1059,2025-05-17,URN-120,2,1300,Tamamlandı
1060,2025-05-17,URN-120,2,1300,Tamamlandı
1061,2025-05-17,URN-113,1,90,İade Edildi
1062,2025-05-17,URN-106,2,900,Tamamlandı
1063,2025-05-17,URN-111,3,1050,Tamamlandı
1064,2025-05-18,URN-115,3,1650,Tamamlandı
1065,2025-05-18,URN-128,1,150,Tamamlandı
1066,2025-05-18,URN-104,1,210,Tamamlandı
1067,2025-05-18,URN-120,3,1950,Tamamlandı
1068,2025-05-18,URN-127,1,580,Tamamlandı
1069,2025-05-18,URN-101,1,750,Tamamlandı
1070,2025-05-18,URN-122,2,800,Tamamlandı
1071,2025-05-18,URN-103,3,540,İptal Edildi
1072,2025-05-18,URN-127,2,1160,Tamamlandı
1073,2025-05-18,URN-104,2,420,Tamamlandı
1074,2025-05-18,URN-126,1,950,Tamamlandı
1075,2025-05-18,URN-123,2,440,Tamamlandı
1076,2025-05-18,URN-127,1,580,Tamamlandı
1077,2025-05-18,URN-100,2,900,Tamamlandı
1078,2025-05-18,URN-108,1,850,Tamamlandı
1079,2025-05-18,URN-125,2,680,Tamamlandı
1080,2025-05-18,URN-124,1,850,Tamamlandı
1081,2025-05-18,URN-111,1,350,Tamamlandı
1082,2025-05-18,URN-119,3,480,Tamamlandı
1083,2025-05-18,URN-103,1,180,İade Edildi
1084,2025-05-18,URN-101,2,1500,Tamamlandı
